N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,8.0,n^(1/q)*2,4.000000,8,0.0000000041,0.0000001192,0.0000002084
256,8.0,n^(1/q)*2,4.000000,9,0.0000000000,0.0000000000,0.0000002083
256,8.0,max+1,1.000000,0,0.0589546785,0.2627274692,0.6865806580
256,8.0,max+1,1.000000,1,0.0188253913,0.1710325480,0.1666852385
256,8.0,max+1,1.000000,2,0.0032207258,0.0851224363,0.0245302431
256,8.0,max+1,1.000000,3,0.0002039072,0.0247483440,0.0014639497
256,8.0,max+1,1.000000,4,0.0000028684,0.0023529839,0.0000204492
256,8.0,max+1,1.000000,5,0.0000000056,0.0000222361,0.0000002429
256,8.0,max+1,1.000000,6,0.0000000041,0.0000001192,0.0000002084
256,8.0,max+1,1.000000,7,0.0000000000,0.0000000000,0.0000002083
256,8.0,max+1,1.000000,8,0.0000000041,0.0000001192,0.0000002084
256,8.0,max+1,1.000000,9,0.0000000000,0.0000000000,0.0000002083
256,8.0,max+n^(1/2q),1.414214,0,0.3308390379,0.4141403735,0.8603398204
256,8.0,max+n^(1/2q),1.414214,1,0.3187276125,0.3837924004,18.4145660400
256,8.0,max+n^(1/2q),1.414214,2,0.2354670912,0.3064804077,6.9722762108
256,8.0,max+n^(1/2q),1.414214,3,0.1498876959,0.2224392444,2.5027363300
256,8.0,max+n^(1/2q),1.414214,4,0.0727231950,0.1363840103,0.7831586599
256,8.0,max+n^(1/2q),1.414214,5,0.0209356565,0.0605921820,0.1727525592
256,8.0,max+n^(1/2q),1.414214,6,0.0022335006,0.0139789516,0.0165897831
256,8.0,max+n^(1/2q),1.414214,7,0.0000415205,0.0008219368,0.0003023788
256,8.0,max+n^(1/2q),1.414214,8,0.0000000410,0.0000029088,0.0000004345
256,8.0,max+n^(1/2q),1.414214,9,0.0000000031,0.0000001192,0.0000002089
1024,1.0,n^(1/q),1024.000000,0,0.0031684537,0.0056645451,0.0031481106
1024,1.0,n^(1/q),1024.000000,1,0.0000101883,0.0000318893,0.0000101677
1024,1.0,n^(1/q),1024.000000,2,0.0000000211,0.0000002392,0.0000000263
1024,1.0,n^(1/q),1024.000000,3,0.0000000089,0.0000001796,0.0000000090
1024,1.0,n^(1/q),1024.000000,4,0.0000000011,0.0000001197,0.0000000068
1024,1.0,n^(1/q),1024.000000,5,0.0000000057,0.0000001199,0.0000000066
1024,1.0,n^(1/q),1024.000000,6,0.0000000009,0.0000001198,0.0000000068
1024,1.0,n^(1/q),1024.000000,7,0.0000000068,0.0000001199,0.0000000068
1024,1.0,n^(1/q),1024.000000,8,0.0000000000,0.0000000598,0.0000000066
1024,1.0,n^(1/q),1024.000000,9,0.0000000066,0.0000001199,0.0000000068
1024,1.0,eps=0.1,0.100000,0,0.9999018908,0.9999021888,366.7888488770
1024,1.0,eps=0.1,0.100000,1,0.9985846877,0.9992956519,233.7120513916
1024,1.0,eps=0.1,0.100000,2,0.9945260286,0.9971894622,118.7930984497
1024,1.0,eps=0.1,0.100000,3,0.9861877561,0.9926463962,59.3701400757
1024,1.0,eps=0.1,0.100000,4,0.9696104527,0.9834853411,29.4641151428
1024,1.0,eps=0.1,0.100000,5,0.9372487068,0.9653520584,14.4896936417
1024,1.0,eps=0.1,0.100000,6,0.8757605553,0.9300519824,7.0037784576
1024,1.0,eps=0.1,0.100000,7,0.7648051977,0.8632628918,3.2689170837
1024,1.0,eps=0.1,0.100000,8,0.5838728547,0.7437231541,1.4182418585
1024,1.0,eps=0.1,0.100000,9,0.3416579962,0.5520086884,0.5253986120
1024,1.0,eps=1.0,1.000000,0,0.9990203381,0.9990217090,260.6209716797
1024,1.0,eps=1.0,1.000000,1,0.9954816103,0.9966621399,133.3805541992
1024,1.0,eps=1.0,1.000000,2,0.9881128669,0.9917620420,66.7541961670
1024,1.0,eps=1.0,1.000000,3,0.9734110832,0.9819476604,33.1664466858
1024,1.0,eps=1.0,1.000000,4,0.9446085691,0.9625679255,16.3416786194
1024,1.0,eps=1.0,1.000000,5,0.8895386457,0.9249287844,7.9289579391
1024,1.0,eps=1.0,1.000000,6,0.7889429331,0.8539992571,3.7295765877
1024,1.0,eps=1.0,1.000000,7,0.6209380627,0.7280371785,1.6447229385
1024,1.0,eps=1.0,1.000000,8,0.3854865432,0.5291082263,0.6313322783
1024,1.0,eps=1.0,1.000000,9,0.1498309523,0.2794640958,0.1771863699
1024,1.0,n^(1/q)/2,512.000000,0,0.4984157681,0.4991196990,0.9874515533
1024,1.0,n^(1/q)/2,512.000000,1,0.2476347983,0.2486830205,0.3277627826
1024,1.0,n^(1/q)/2,512.000000,2,0.0611296445,0.0617345758,0.0648910403
1024,1.0,n^(1/q)/2,512.000000,3,0.0037250742,0.0038043961,0.0037271767
1024,1.0,n^(1/q)/2,512.000000,4,0.0000138209,0.0000144555,0.0000137903
1024,1.0,n^(1/q)/2,512.000000,5,0.0000000471,0.0000001796,0.0000000273
1024,1.0,n^(1/q)/2,512.000000,6,0.0000000312,0.0000001796,0.0000000090
1024,1.0,n^(1/q)/2,512.000000,7,0.0000000284,0.0000001796,0.0000000068
1024,1.0,n^(1/q)/2,512.000000,8,0.0000000288,0.0000001796,0.0000000066
1024,1.0,n^(1/q)/2,512.000000,9,0.0000000284,0.0000001796,0.0000000069
1024,1.0,n^(1/q)*2,2048.000000,0,1.0063369274,1.0113290548,0.5007884502
1024,1.0,n^(1/q)*2,2048.000000,1,0.0031684537,0.0056645451,0.0031481106
1024,1.0,n^(1/q)*2,2048.000000,2,0.0000101883,0.0000318893,0.0000101677
1024,1.0,n^(1/q)*2,2048.000000,3,0.0000000211,0.0000002392,0.0000000263
1024,1.0,n^(1/q)*2,2048.000000,4,0.0000000089,0.0000001796,0.0000000090
